Category,Case Type,Image Name,Annotation Name (YOLOv5),Reference
insulting_gesture,Normal,img_hod_001447.jpg,img_hod_001447.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001517.jpg,img_hod_001517.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001526.jpg,img_hod_001526.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009687.jpg,img_hod_009687.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001514.jpg,img_hod_001514.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001779.jpg,img_hod_001779.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001743.jpg,img_hod_001743.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001801.jpg,img_hod_001801.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001931.jpg,img_hod_001931.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001961.jpg,img_hod_001961.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001474.jpg,img_hod_001474.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001586.jpg,img_hod_001586.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001808.jpg,img_hod_001808.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001509.jpg,img_hod_001509.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009635.jpg,img_hod_009635.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001504.jpg,img_hod_001504.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001583.jpg,img_hod_001583.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009727.jpg,img_hod_009727.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001916.jpg,img_hod_001916.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001608.jpg,img_hod_001608.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_010206.jpg,img_hod_010206.txt,https://unsplash.com
insulting_gesture,Normal,img_hod_001857.jpg,img_hod_001857.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001613.jpg,img_hod_001613.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001741.jpg,img_hod_001741.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001937.jpg,img_hod_001937.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001555.jpg,img_hod_001555.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009718.jpg,img_hod_009718.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001579.jpg,img_hod_001579.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001605.jpg,img_hod_001605.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001541.jpg,img_hod_001541.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001578.jpg,img_hod_001578.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001807.jpg,img_hod_001807.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001536.jpg,img_hod_001536.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001547.jpg,img_hod_001547.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001499.jpg,img_hod_001499.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001830.jpg,img_hod_001830.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001550.jpg,img_hod_001550.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009646.jpg,img_hod_009646.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001782.jpg,img_hod_001782.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_002045.jpg,img_hod_002045.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009666.jpg,img_hod_009666.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001520.jpg,img_hod_001520.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001487.jpg,img_hod_001487.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001455.jpg,img_hod_001455.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001827.jpg,img_hod_001827.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001687.jpg,img_hod_001687.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001666.jpg,img_hod_001666.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009668.jpg,img_hod_009668.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001738.jpg,img_hod_001738.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001500.jpg,img_hod_001500.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009709.jpg,img_hod_009709.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001711.jpg,img_hod_001711.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001637.jpg,img_hod_001637.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009650.jpg,img_hod_009650.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001493.jpg,img_hod_001493.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001523.jpg,img_hod_001523.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001561.jpg,img_hod_001561.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001467.jpg,img_hod_001467.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001634.jpg,img_hod_001634.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001930.jpg,img_hod_001930.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001510.jpg,img_hod_001510.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001676.jpg,img_hod_001676.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001475.jpg,img_hod_001475.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001716.jpg,img_hod_001716.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001732.jpg,img_hod_001732.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001712.jpg,img_hod_001712.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001734.jpg,img_hod_001734.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001663.jpg,img_hod_001663.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001640.jpg,img_hod_001640.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001701.jpg,img_hod_001701.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001859.jpg,img_hod_001859.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_001982.jpg,img_hod_001982.txt,https://www.istockphoto.com
insulting_gesture,Normal,img_hod_009733.jpg,img_hod_009733.txt,https://www.freepik.com
insulting_gesture,Normal,img_hod_001521.jpg,img_hod_001521.txt,https://www.istockphoto.com
